id,text,cleaned_text
1.55E+18,"Before she was gunned down with her classmates, 10-year-old Alithia Haven Ramirez, of Uvalde, Texas, wanted to be an artist who shared her creations with the world. Now, Google has honored her wish.","Before she was gunned down with her classmates, 10-year-old Alithia Haven Ramirez, of Uvalde, Texas, wanted to be an artist who shared her creations with the world. Now, Google has honored her wish.."
1.55E+18,"After the resignation of former British Prime Minister Boris Johnson, the battle to become Britain's next leader has narrowed down in the last round.CNN's @bianca_nobilo jumped into the ring to learn more.See how the final candidates stack up.","After the resignation of former British Prime Minister Boris Johnson, the battle to become Britain's next leader has narrowed down in the last round.CNN's @bianca_nobilo jumped into the ring to learn more.See how the final candidates stack up.."
1.55E+18,"The US Postal Service said Wednesday that at least 40% of its new delivery vehicles will be electric, up from the 10% it had once committed to, following a backlash from the Biden administration and others.","The US Postal Service said Wednesday that at least 40% of its new delivery vehicles will be electric, up from the 10% it had once committed to, following a backlash from the Biden administration and others.."
1.55E+18,NASA's Perseverance rover captured an unusual image of something lying in the red sand of Mars: a bundle of string.,NASA's Perseverance rover captured an unusual image of something lying in the red sand of Mars: a bundle of string..
1.55E+18,"Have you ever looked at an athlete and thought, I can do better? Well, @WKamauBell is about to prove you can't.#UnitedShades airs Sunday at 10 pm ET/PT.","Have you ever looked at an athlete and thought, I can do better? Well, @WKamauBell is about to prove you can't.#UnitedShades airs Sunday at 10 pm ET/PT.."
1.55E+18,Women speak out as doctors in states with strict anti-abortion laws fear prosecution for performing an abortion when they were actually providing miscarriage care.,Women speak out as doctors in states with strict anti-abortion laws fear prosecution for performing an abortion when they were actually providing miscarriage care..
1.55E+18,"Americans' belief that society and government can do something about mass shootings is at a new high, according to a new CNN poll.","Americans' belief that society and government can do something about mass shootings is at a new high, according to a new CNN poll.."
1.55E+18,"Following former Vice President Mike Pence's first trip to Capitol Hill since leaving office in 2021, his former advisor @OliviaTroye tells CNN's @AnaCabrera about the visit and Pence's ""aspirations"" to run for president.Watch the interview.","Following former Vice President Mike Pence's first trip to Capitol Hill since leaving office in 2021, his former advisor @OliviaTroye tells CNN's @AnaCabrera about the visit and Pence's ""aspirations"" to run for president.Watch the interview.."
1.55E+18,These are the keys to 401(k) investing success in a falling market.,These are the keys to 401(k) investing success in a falling market..
1.55E+18,A bipartisan group of senators reached a deal to make it harder to overturn a certified presidential election.The proposal still needs to be approved by both chambers of Congress and will need 60 votes in the Senate to break any filibuster attempt.,A bipartisan group of senators reached a deal to make it harder to overturn a certified presidential election.The proposal still needs to be approved by both chambers of Congress and will need 60 votes in the Senate to break any filibuster attempt..
1.55E+18,Alaska Airlines is rolling out electronic bag tags in an effort to speed up the airport check-in process for customers.,Alaska Airlines is rolling out electronic bag tags in an effort to speed up the airport check-in process for customers..
1.55E+18,"""J.D.Vance is lucky he made it through the primary."" Senate candidate @RepTimRyan (D-OH) talks to CNN's @abbydphillip about facing Trump-endorsed candidate J.D.Vance in the upcoming midterm elections.","""J.D.Vance is lucky he made it through the primary."" Senate candidate @RepTimRyan (D-OH) talks to CNN's @abbydphillip about facing Trump-endorsed candidate J.D.Vance in the upcoming midterm elections.."
1.55E+18,"Neuroscientist Adam Gazzaley and his team created an FDA-approved game, EndeavorRx, that treats children with ADHD.@DrSanjayGupta tries out this ground-breaking new treatment for himself on this week's episode of Chasing Life.Listen to the podcast.","Neuroscientist Adam Gazzaley and his team created an FDA-approved game, EndeavorRx, that treats children with ADHD.@DrSanjayGupta tries out this ground-breaking new treatment for himself on this week's episode of Chasing Life.Listen to the podcast.."
1.55E+18,"The Artemis I mega rocket may be launching on its trip to the moon on August 29, September 2 or September 5, according to NASA officials.","The Artemis I mega rocket may be launching on its trip to the moon on August 29, September 2 or September 5, according to NASA officials.."
